ts,iso,hour_bucket,symbol,market_id,mark_price,index_price,last_trade_price,basis_bps,open_interest,oi_notional,daily_quote_volume,daily_base_volume,daily_trades,daily_price_low,daily_price_high,daily_price_change,funding_rate,funding_exchange,funding_clamp_small,funding_clamp_big,base_interest_rate,best_bid,best_ask,spread_bps,bid_sz_l1,ask_sz_l1,bid_base_top50,ask_base_top50,depth_imb_top50,bid_notional_band,ask_notional_band,depth_imb_band
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,META,13,614.91,614.82,614.99,1.464,837.8521,515203.63,160571.676188,260.8807,279,614.11,616.44,-0.0016260162601626016,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,OPENAI,42,1418.84,1419.1,1418.53,-1.832,1390.0046,1972194.13,5018952.107943,3517.4251,33369,1404.1,1442.18,-1.2207010849128868,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,SOXL,35,122.65,121.88,122.94,63.177,1542.644,189205.29,152825.066887,1272.0451,363,116.16,123.0,5.800344234079174,0.000664,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,ASTS,47,62.76,62.756,62.588,0.637,99.408,6238.85,42158.588834,673.883,57,62.181,63.005,-0.4833683139349997,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,IREN,49,43.561,43.62,43.512,-13.526,564.334,24582.95,94917.027147,2159.2,119,43.326,44.366,-0.47803115207794883,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,LUNR,50,14.897,14.886,14.902,7.389,338.973,5049.68,11257.871488,755.524,33,14.787,14.994,0.6891891891891891,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,SMCI,53,40.192,40.179,40.415,3.236,188.009,7556.46,24597.928948,612.331,42,39.672,40.435,1.326279897708469,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,AI,45,0.20575,0.20499,0.21372,37.075,295420.9,60782.85,145258.977572,647348.7,606,0.18111,0.3074,-25.202113883736395,0.000416,lighter,0.05,4.0,0.01,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,ANTHROPIC,38,1968.3,1968.3,1968.2,0.0,1801.30863,3545515.78,10282779.648408,5231.2549,64727,1945.2,1983.6,0.9538950715421304,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,HYPE,2,87.99,88.046,87.998,-6.36,45175.709,3975010.63,15518793.821595,178149.726,22333,84.74,89.602,2.6619964973730297,9.599999999999999e-05,lighter,0.05,4.0,0.01,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,SPCX,18,150.8,150.78,150.82,1.326,11855.9145,1787871.91,2461517.030747,16358.3272,11779,149.38,151.18,0.7885592087677091,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,SKHY,37,175.5,175.63,175.68,-7.402,5146.8857,903278.44,198979.754152,1128.1654,475,174.91,177.77,-0.02845273999886189,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,CRWV,33,90.11,90.1,89.97,1.11,2231.0587,201040.7,63812.795494,709.6155,75,89.35,90.2,0.6038242200603824,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,GOOGL,12,338.66,338.72,338.65,-1.771,2267.648,767961.67,1314363.363938,3869.8114,865,338.04,340.19,-0.3824091778202677,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,TSM,46,427.8,427.65,427.45,3.508,225.1259,96308.86,156186.944694,364.7011,211,426.42,430.13,0.05149451115324298,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,VVV,8,17.035,17.009,17.036,15.286,8521.882,145170.26,83071.139927,4827.927,537,16.99,17.416,-1.7928172018216406,0.00046399999999999995,lighter,0.05,4.0,0.01,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,CASHCAT,36,0.21757,0.21743,0.21704,6.439,924803.4,201209.48,202831.465513,865023.7,1855,0.21544,0.28116,-21.48464349021452,9.599999999999999e-05,lighter,0.05,4.0,0.01,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,BABA,19,113.23,113.22,113.25,0.883,2535.4753,287091.87,101712.448784,895.4559,3013,113.14,113.94,-0.14988538176688415,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
